"N","alpha","beta","gamma"
3.1573953656022593,1.0088182512510937,1.7994771139397678,2.101203601724772
5.684624432805285,1.3026858111943662,2.107970375266891,2.0656620692106378
2.85877528994709,0.9830469895499176,1.7368460755054886,2.1273251682179612
4.388669648059969,1.1478312335579843,1.9703684580235727,2.0902533590593544
1.6321516887530108,0.7609896020067245,1.3406067847155174,2.1955444125102064
2.256108408093403,0.8590854168595657,1.6253670949872407,2.1461559228550926
2.079440577387599,0.8383579735567187,1.5212401441192076,2.1544492518446954
2.899212189179135,0.9806205490458716,1.7681097159415362,2.1078172988359296
1.52934916488489,0.7036717654001646,1.3651296877041348,2.180543724286172
2.7922869279995908,0.9854882998319544,1.6862470639920533,2.1128366471627436
1.592303293758796,0.7133026961562102,1.3913918652635913,2.1821681879655515
2.6356737346839965,0.9123999792306379,1.7511792103107768,2.1059394384970727
5.265871911388571,1.2535809539050176,2.0377794823122217,2.0793604927526483
2.390998778130518,0.8872250514705244,1.6529700376149365,2.1364895216848123
2.1849207015274645,0.8495559647703774,1.5856676129565055,2.1325078533443764
2.813240162010058,0.9510856613381399,1.787254189055925,2.0897737255912316
2.28926326641193,0.8664132704325747,1.5799455649467324,2.151791925993362
1.8449104649369095,0.7737033683018496,1.4658725905350911,2.169248828315197
2.70918275106193,0.9317698699676823,1.7667612647792041,2.098768649473029
3.3801868101858084,1.048594391858517,1.7805080354488694,2.1128629871211277
4.102072672354803,1.12763992307148,1.9448521573196937,2.0906174961906427
3.1438605883066946,1.001529053628682,1.8261988130241602,2.0944956513252313
3.3783361818676205,1.0665615933060404,1.759841842445609,2.116784970067095
2.578432240952547,0.9412183481113899,1.584730193534229,2.151380055945237
1.5248605653988088,0.6762861317203035,1.4010956556791128,2.1717432749933807
3.6454461805076757,1.0688697863722578,1.9396889107200947,2.070705011639979
3.536997329604393,1.0515699149631832,1.8742262093478836,2.0896212864856136
2.22726615375198,0.8673627150056228,1.5990932926599966,2.125161946318289
5.612904099553648,1.3155243065400937,1.969253484659206,2.112530063938197
2.831243466626305,0.956582475988236,1.7393141349561958,2.1171431913997085
1.8600952018522416,0.7855894658073117,1.4626543234917966,2.1696470288168297
2.326339264484923,0.8992561789536725,1.5275037072929614,2.170864131271621
5.228303405764649,1.2204106709574787,2.09369758624621,2.0661176904605996
