N,alpha,beta,gamma
3.1573953656022593,1.0088182512510937,1.7994771139397678,2.101203601724772
2.16438744451871,0.8173176137782395,1.65287510476699,2.1044453109997936
3.7919773215276207,1.1051445463269882,1.8455453426228157,2.1069628162471274
3.9040570847416887,1.0954707879051404,1.9896060599479677,2.0662315545893444
4.224131658504829,1.144464627635542,2.007032214420312,2.0599433896789425
2.1661801902407687,0.8373128126890322,1.5915204236801366,2.130057077625225
1.8497202030958657,0.7467363183369996,1.5591422480453438,2.131367128178092
2.0824329209859824,0.8211227782672954,1.5591786011200632,2.135458138197993
3.6949823842535436,1.0681918066912341,1.9034198394812147,2.0903895514626987
3.0365525841270338,0.9952718870434084,1.764622693309772,2.1045605227021293
4.424279625962652,1.149514974537885,2.0309670832100526,2.0601952232077925
2.1513870898096266,0.8576593159438876,1.5414153411966034,2.137485959350252
2.3009133355201437,0.8607846189892305,1.6085831142580889,2.1365363203405106
5.049610441315508,1.2155535705690168,2.0633706451350844,2.080152273692957
4.9216774434203545,1.1727671901842736,2.1293246036107605,2.0487496931076583
1.968065169499752,0.7978735971259657,1.541312560268375,2.139470798191584
1.5285189300473823,0.6624562089318663,1.4810562369079119,2.1379679446457738
3.214516177957946,1.053163223053536,1.6828071852530384,2.1432417032899758
3.6464220143455472,1.0744167643410223,1.8761543967903718,2.0918781419636425
2.821522450040696,0.911794963892188,1.8786412355952662,2.062683818739585
6.0395479090063695,1.2920124315922965,2.1804370588486917,2.0460206148293816
1.6304972619732134,0.7071135680133903,1.4224489018320599,2.1705682760958735
2.2231379226332564,0.8484173626945816,1.6941540490124904,2.0903203348344563
1.9044188186784716,0.7684310831026855,1.5502372757606253,2.132054234771818
2.949496993657979,0.9791184620276261,1.771427736709759,2.0998041295866305
1.8332254884911243,0.7514111932744537,1.543466289898183,2.1220927972384533
2.521762554000527,0.8954259849580022,1.6976165636866887,2.1157051930733197
2.260451525400939,0.8362915190138102,1.6355417912430141,2.1216249063753763
4.530775155748714,1.1698556319057192,2.0151046711341953,2.0715426202101845
3.6854287035198534,1.084464749335613,1.8593937695142655,2.101513675771184
3.345414674646342,1.0135750275650408,1.8456354919634186,2.092434704072097
2.3392373782122577,0.890785238715734,1.5873592878333258,2.1423626956592194
5.8505039196199,1.3112821675012811,2.1014226068412265,2.0643015546483268
3.13516711202638,0.9762341377302237,1.8559479163272843,2.083680398870152
3.1574267763861132,1.029493094114522,1.7330504314224733,2.126986183906101
3.9841441869492877,1.1543522428890518,1.8368600770123173,2.1068841159570413
4.52941332738698,1.1880058404753986,1.927842761217739,2.0997623809804162
4.75027843021382,1.1763774154314617,2.0497638551523316,2.0781423650756046
1.7528555569832796,0.7071202679524914,1.5732121983922311,2.1201778527307034
2.0172738906465484,0.7794284167923832,1.6134667668486384,2.118036984437819
1.3494448028280577,0.6233481829877742,1.3412943728302031,2.1668587624756306
3.166938935213892,1.0367215417271207,1.71835513352986,2.118802648151724
2.613971829198105,0.8986571090976833,1.787733754407591,2.0928238579593264
5.14023544144792,1.2292088987126848,2.0777644476210373,2.0674743933325113
3.40315353065542,1.0588164466691183,1.7839292514334242,2.108990880802813
2.3702834086524827,0.8706430565163926,1.6943580963468257,2.1077120297744703
1.7867460336975414,0.780722688106435,1.4686841218637061,2.149973198487996
2.0850794168789095,0.8002004131892516,1.6607805190732245,2.1068972102807346
3.0264046187167324,0.9929506750342825,1.751180156885801,2.121722674354069
2.1594251278425087,0.8128412810826686,1.621498271584647,2.128018942640186
2.2942691428380257,0.8512328734247472,1.6711086772804749,2.1086385436540374
2.268052832333453,0.8243545336021146,1.7297173530423364,2.0863691260061374
5.553546578268546,1.3002235199736478,1.9723452954400247,2.1002308345869984
3.0169444847813427,1.0230268802155624,1.6901662369926378,2.1191376749524955
4.349794969606099,1.1217642243104131,1.9774865435252944,2.0929689032598344
3.1409021043763157,1.031329963066373,1.7185476781937465,2.1304593251904373
2.3644040332264535,0.8814088071522124,1.6402990169440221,2.120768619217237
2.869888007048917,0.945121316074266,1.7943071448540913,2.102403367725384
4.09443870107823,1.1504854825951367,1.8252991864574246,2.120704376898781
3.8731595559454015,1.0887905520467418,1.9985058868633512,2.060230597159855
3.1478545672543152,1.0067079413176228,1.820883208010853,2.092256921200924
1.680173332469484,0.7259883469581552,1.448572272936571,2.15615199545379
2.7788339697773616,0.9574838771747088,1.7120490578538257,2.119631347863561
3.743538349928012,1.1100157592952768,1.8582316688823288,2.1013183940669573
2.869771186667182,0.9685480756345443,1.7123316497925665,2.123679871728353
2.8012059796998092,0.9744476651470243,1.7448991313628552,2.1027854958789467
2.8114647583577965,0.978365083518736,1.6911865274165756,2.122604128596871
2.4646322653667916,0.9121457603287918,1.6653940734397494,2.110085515721033
3.1504296807058094,1.0006860981628671,1.8116178225032626,2.1030286632269473
2.4208023536109113,0.8928244936211583,1.6419178526833005,2.1168119038365028
6.184530099400385,1.330329707219232,2.170156160956172,2.0560638403007467
2.936827141637936,0.9630781653025394,1.7889746168011502,2.1081076135004264
3.2746159697104478,1.0304717820737828,1.8156709139214187,2.1000254237003886
2.3457443136580323,0.8531907829817837,1.6885411314599348,2.106608592118566
1.6977659670554794,0.7140941763507916,1.5126104830922098,2.1306011008943795
2.3028262590452573,0.8620708022757755,1.6877712621916354,2.0931592403042796
5.041522467529053,1.221428579495239,2.0326476606587294,2.073692581665835
2.6332067333993514,0.9171753968796357,1.7087931491169577,2.11005004697227
2.353436986878948,0.8893290698749023,1.6193713010874287,2.137156303907076
2.1334345711632703,0.8239314173791565,1.6286463321562672,2.112226383050645
6.204962345981423,1.3575981802139183,2.099313597145331,2.063365357536187
2.6590653809212683,0.9500349066955787,1.637684835089664,2.133093752901302
2.6482463046319027,0.9259529543785148,1.722262568385479,2.1181413893503107
4.370789748848188,1.1630069536731584,1.9703914880866262,2.0741283532423376
2.61085812690025,0.9019554568532347,1.738815322426731,2.1110370354501287
3.189164123870475,1.029979776447716,1.8084599179108514,2.101750608654922
1.6484249215514541,0.7014404883317455,1.4851567489376967,2.140813929553252
3.065501987063644,1.0038043417344116,1.7306200856444294,2.1197231201728233
4.011244513878779,1.1584494399049896,1.8270475151891534,2.112979272900101
2.99747345829304,0.9688522729048853,1.8064050329852446,2.0966931658381163
3.582554339144719,1.0785632062672674,1.8321993753289343,2.109203955888407
2.5448386640759173,0.9200094143046067,1.609089636443699,2.139333723582958
3.0691372894830673,1.0193336857905444,1.7340790923371487,2.1047828910283166
2.2061325925108366,0.8307275919742985,1.7111966248746573,2.0871224101054158
2.6528573159324518,0.8945482475120561,1.793692966379172,2.08915354038887
2.590695888488239,0.912131504259191,1.7311913823440277,2.1035361920958136
2.258863276878339,0.8679324037930851,1.5700173852472332,2.1458469462418313
4.664807501119925,1.1657127113233365,2.0451714685169726,2.069947308042722
2.1142581308465065,0.7998457746400325,1.6557278504041721,2.1148168725738747
2.569599399722572,0.9089857485039223,1.7032183559885377,2.1080691531850633
2.7511661211921434,0.9285174266505489,1.775009920494726,2.0996868911797946
2.8767111471460898,0.9704849343961104,1.7174624017817135,2.1156525358293337
1.9640916966302993,0.731339439799241,1.6743494706086506,2.1013360012707403
4.47729424371762,1.155504154936471,2.0220452034308,2.071507842793471
